Level US;Level FR;Question;Variables;Variables (no units);Formula;Test Answer;Numeric answer;Units 1;Solve function
9;Seconde;A body starts from a point with an initial speed of \( v_0 = 10 \, \mathrm{m/s} \) and a constant acceleration of \( a = 2 \, \mathrm{m/s^2} \). What is the distance traveled after \( t = 5 \, \mathrm{s} \)?;v0=10 m/s, a=2 m/s^2, t=5 s;v0:10, a:2, t:5;v0 * t + 0.5 * a * (t**2);"The distance traveled is given by the formula: \[ x = v_0 t + \frac{1}{2} a t^2 \] Substituting the values: \[ x = 10 \cdot 5 + \frac{1}{2} \cdot 2 \cdot 5^2 = 50 + 25 = 75 \, \mathrm{m} \] The distance traveled is therefore \( x = 75 \, \mathrm{m} \).";75;m;"def solve(v0;a;t): dist=v0*t+0.5*a*(t**2);return f'{dist} m'"
7;5;A person walks at a constant speed of \( v = 1.5 \, \mathrm{m/s} \) for \( t = 10 \, \mathrm{s} \). What distance do they cover?;v=1.5 m/s, t=10 s;v:1.5, t:10;v * t;The distance traveled is given by: \[ x = v \cdot t \] Substituting the values: \[ x = 1.5 \cdot 10 = 15 \, \mathrm{m} \] The distance traveled is therefore \( x = 15 \, \mathrm{m} \).;15;m;"def solve(v;a;t): dist=v*t;return f'{dist} m'"
9;2;An object falls freely from rest. What distance does it cover after \( t = 3 \, \mathrm{s} \), assuming a gravitational acceleration of \( g = 9.8 \, \mathrm{m/s^2} \)?;g=9.8 m/s^2, t=3 s;g:9.8, t:3;0.5 * g * (t**2);"The distance traveled is given by: \[ x = \frac{1}{2} g t^2 \] Substituting the values: \[ x = \frac{1}{2} \cdot 9.8 \cdot 3^2 = 4.9 \cdot 9 = 44.1 \, \mathrm{m} \] The distance traveled is therefore \( x = 44.1 \, \mathrm{m} \).";44.1;m;"def solve(g;a;t): dist=0.5*g*(t**2);return f'{dist} m'"
11;0;A projectile is launched vertically upward with an initial velocity of \( v_0 = 20 \, \mathrm{m/s} \). What is the maximum height ...?;v0=20 m/s, g=9.8 m/s^2;v0:20, g:9.8;(v0**2)/(2*g);"The maximum height is given by: \[ h = \frac{v_0^2}{2 g} \] ...";20.41;m;"def solve(v0;a;g): h=(v0**2)/(2*g);return f'{h} m'"
Undergraduate;L3;An electron is in a one-dimensional infinite potential well ...;L=1 nm, n=1;L:1, n:1;2*L/n;"For an infinite potential well, ...";2 * 10^-9;m;"def solve(L_nm;a;n): lam=2*L_nm/n;return f'{lam} nm'"
Graduate;M1;Consider a dense star ... Schwarzschild radius ...?;G=6.674e-11, M=2e30 kg, c=3.00e8 m/s;G:6.674e-11, M:2e30, c:3.00e8;(2 * G * M)/(c**2);"The Schwarzschild radius ... ~ 2.97 * 10^3 m";2.97 * 10^3;m;"def solve(G;M;c): Rs=(2*G*M)/(c**2);return f'{Rs} m'"
Grad/Doc;M2/Doc;An ultra-relativistic neutrino travels with an energy of \( E = 1 \, \mathrm{TeV} \) ...;h=6.626e-34 J*s, c=3.00e8 m/s, E=1 TeV;h:6.626e-34, c:3.00e8, E:1;(h*c)/E;"The wavelength is given by: \[ \lambda = (h c)/E \] ...";1.24 * 10^-18;m;"def solve(h;c;E): lam=(h*c)/E;return f'{lam} m'"
10;1;A car travels at a constant speed of \( v = 60 \, \mathrm{mph} \) for \( t = 2 \, \mathrm{hours} \). How far ...?;v=60 mph, t=2 h;v:60, t:2;v * t;Distance is given by \[ x = v \cdot t \] ...=120 miles.;120;miles;"def solve(v;a;t): dist=v*t;return f'{dist} miles'"
Undergraduate;L3;A mass-spring system has \( k = 200 \, \mathrm{N/m} \) and \( m = 0.5 \, \mathrm{kg} \). ...;k=200 N/m, m=0.5 kg;k:200, m:0.5;(k/m)**0.5;The angular frequency ...=20 rad/s.;20;rad/s;"def solve(k;a;m): w=(k/m)**0.5;return f'{w} rad/s'"
7;5;A marathon length ... Convert to km, 1 mi=1.609;distance_miles=26.2, 1mile=1.609;distance_miles:26.2, 1mile:1.609;distance_miles * 1.609;Converting ... ~42.16 km;42.16;km;"def solve(distance_miles;a): dist_km=distance_miles*a;return f'{dist_km} km'"
